192.168.41.1 (192.168.41.1)
* 192.168.8.19 (192.168.8.19)
noc-cr-in.comp.iith.ac.in (103.232.241.2)
noc-cn-in.comp.iith.ac.in (10.119.254.121)
10.160.24.5 (10.160.24.5)
10.255.232.201 (10.255.232.201)
180.149.48.18 (180.149.48.18)
180.149.48.2 (180.149.48.2)
180.149.48.13 (180.149.48.13)
fourhundredge-0-0-0-2.4079.core1.ashb.net.internet2.edu (163.253.1.116)
fourhundredge-0-0-0-1.4079.core1.clev.net.internet2.edu (163.253.1.123)
fourhundredge-0-0-0-2.4079.core1.eqch.net.internet2.edu (163.253.1.211)
fourhundredge-0-0-0-1.4079.core1.chic.net.internet2.edu (163.253.1.206)
fourhundredge-0-0-0-1.4079.core2.kans.net.internet2.edu (163.253.2.29)
fourhundredge-0-0-0-1.4079.core2.denv.net.internet2.edu (163.253.1.250)
fourhundredge-0-0-0-3.4079.core2.salt.net.internet2.edu (163.253.1.169)
fourhundredge-0-0-0-2.4079.core2.sacr.net.internet2.edu (163.253.1.186)
fourhundredge-0-0-0-21.4079.core1.sacr.net.internet2.edu (163.253.1.34)
fourhundredge-0-0-0-0.4079.core1.sunn.net.internet2.edu (163.253.1.193)
hpr-svl-agg10--internet2r&e-100ge.cenic.net (137.164.26.126)
hpr-oak-agg8--svl-hpr3-100g.cenic.net (137.164.25.95)
137.164.26.241 (137.164.26.241)
woa-west-rtr-vl3.sunet (171.66.255.132)
web.stanford.edu (171.67.215.200)
